,Nodes,Accuracy,CI min,CI max,CI size
0,2,0.8110000008344651,0.7689589982389838,0.8530410034299464,0.08408200519096254
0,20,0.9586666625738145,0.9555985358954985,0.9617347892521305,0.006136253356632038
0,40,0.9651666653156281,0.963739267040834,0.9665940635904222,0.002854796549588201
0,60,0.9665000027418136,0.9651879125530691,0.967812092930558,0.002624180377488905
0,80,0.9678333359956742,0.9658823301842129,0.9697843418071356,0.0039020116229226964
0,100,0.9703333365917205,0.969101974731233,0.9715646984522079,0.002462723720974891
0,120,0.9705000036954878,0.9691175751054756,0.9718824322855001,0.0027648571800245048
0,140,0.970000004172325,0.9684103233198138,0.9715896850248362,0.003179361705022421
0,160,0.9701666706800459,0.9683498036084173,0.9719835377516746,0.0036337341432572945
0,180,0.9715000027418135,0.9703143831580634,0.9726856223255635,0.00237123916750015
0,200,0.9713333368301391,0.9701019756118583,0.9725646980484199,0.0024627224365616485
0,220,0.9713333368301391,0.9694026765745177,0.9732639970857605,0.0038613205112427718
0,240,0.9726666682958601,0.9720509880536929,0.9732823485380273,0.001231360484334365
0,260,0.971833336353302,0.9705212479295892,0.9731454247770149,0.0026241768474257743
0,280,0.9713333356380461,0.970579282771051,0.9720873885050413,0.0015081057339902948
0,300,0.9725000023841858,0.9718716259938025,0.973128378774569,0.0012567527807665346
0,320,0.97200000166893,0.9706464364981489,0.9733535668397111,0.002707130341562225
0,340,0.9723333352804182,0.9714996995237808,0.9731669710370556,0.0016672715132748372
0,360,0.9721666693687439,0.9713619549496451,0.9729713837878426,0.0016094288381975907
0,380,0.971833336353302,0.9711565542686768,0.9725101184379273,0.0013535641692505873
0,400,0.9723333352804182,0.9711815016443293,0.9734851689165072,0.0023036672721779006
